Web Search interest: selena gomez
United States; 2004 - present

Interest over time
Week,selena gomez
2010-06-27 - 2010-07-03,37
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,42
2010-07-18 - 2010-07-24,52
2010-07-25 - 2010-07-31,46
2010-08-01 - 2010-08-07,40
2010-08-08 - 2010-08-14,36
2010-08-15 - 2010-08-21,34
2010-08-22 - 2010-08-28,31
2010-08-29 - 2010-09-04,31
2010-09-05 - 2010-09-11,36
2010-09-12 - 2010-09-18,35
2010-09-19 - 2010-09-25,35
2010-09-26 - 2010-10-02,30
2010-10-03 - 2010-10-09,28
2010-10-10 - 2010-10-16,29
2010-10-17 - 2010-10-23,25
2010-10-24 - 2010-10-30,25
2010-10-31 - 2010-11-06,29
2010-11-07 - 2010-11-13,27
2010-11-14 - 2010-11-20,27
2010-11-21 - 2010-11-27,30
2010-11-28 - 2010-12-04,25
2010-12-05 - 2010-12-11,26
2010-12-12 - 2010-12-18,29
2010-12-19 - 2010-12-25,37
2010-12-26 - 2011-01-01,41
2011-01-02 - 2011-01-08,73
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,42
2011-01-23 - 2011-01-29,39
2011-01-30 - 2011-02-05,33
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,51
2011-02-20 - 2011-02-26,39
2011-02-27 - 2011-03-05,85
2011-03-06 - 2011-03-12,52
2011-03-13 - 2011-03-19,56
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,41
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,35
2011-05-08 - 2011-05-14,33
2011-05-15 - 2011-05-21,37
2011-05-22 - 2011-05-28,77
2011-05-29 - 2011-06-04,67
2011-06-05 - 2011-06-11,81
2011-06-12 - 2011-06-18,88
2011-06-19 - 2011-06-25,83
2011-06-26 - 2011-07-02,100
2011-07-03 - 2011-07-09,83
2011-07-10 - 2011-07-16,71
2011-07-17 - 2011-07-23,73
2011-07-24 - 2011-07-30,70
2011-07-31 - 2011-08-06,72
2011-08-07 - 2011-08-13,76
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,54
2011-08-28 - 2011-09-03,65
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,49
2011-09-18 - 2011-09-24,42
2011-09-25 - 2011-10-01,44
2011-10-02 - 2011-10-08,44
2011-10-09 - 2011-10-15,48
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,44
2011-10-30 - 2011-11-05,67
2011-11-06 - 2011-11-12,63
2011-11-13 - 2011-11-19,49
2011-11-20 - 2011-11-26,63
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,49
2011-12-11 - 2011-12-17,47
2011-12-18 - 2011-12-24,59
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,60
2012-01-08 - 2012-01-14,48
2012-01-15 - 2012-01-21,44
2012-01-22 - 2012-01-28,46
2012-01-29 - 2012-02-04,40
2012-02-05 - 2012-02-11,46
2012-02-12 - 2012-02-18,41
2012-02-19 - 2012-02-25,49
2012-02-26 - 2012-03-03,56
2012-03-04 - 2012-03-10,48
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,34
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,45
2012-04-08 - 2012-04-14,39
2012-04-15 - 2012-04-21,39
2012-04-22 - 2012-04-28,38
2012-04-29 - 2012-05-05,35
2012-05-06 - 2012-05-12,33
2012-05-13 - 2012-05-19,32
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,37
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,43
2012-06-24 - 2012-06-30,40
2012-07-01 - 2012-07-07,41
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,38
2012-07-22 - 2012-07-28,51
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,37
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,35
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,28
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,27
2012-09-30 - 2012-10-06,39
2012-10-07 - 2012-10-13,27
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,27
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,73
2012-11-18 - 2012-11-24,52
2012-11-25 - 2012-12-01,32
2012-12-02 - 2012-12-08,32
2012-12-09 - 2012-12-15,29
2012-12-16 - 2012-12-22,31
2012-12-23 - 2012-12-29,39
2012-12-30 - 2013-01-05,42
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,38
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,36
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,34
2013-02-17 - 2013-02-23,37
2013-02-24 - 2013-03-02,37
2013-03-03 - 2013-03-09,36
2013-03-10 - 2013-03-16,49
2013-03-17 - 2013-03-23,67
2013-03-24 - 2013-03-30,86
2013-03-31 - 2013-04-06,55
2013-04-07 - 2013-04-13,50
2013-04-14 - 2013-04-20,66
2013-04-21 - 2013-04-27,54
2013-04-28 - 2013-05-04,50
2013-05-05 - 2013-05-11,53
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,65
2013-05-26 - 2013-06-01,56
2013-06-02 - 2013-06-08,56
2013-06-09 - 2013-06-15,53
2013-06-16 - 2013-06-22,56
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,64
2013-07-07 - 2013-07-13,62
2013-07-14 - 2013-07-20,63
2013-07-21 - 2013-07-27,90
2013-07-28 - 2013-08-03,62
2013-08-04 - 2013-08-10,52
2013-08-11 - 2013-08-17,54
2013-08-18 - 2013-08-24,49
2013-08-25 - 2013-08-31,70
2013-09-01 - 2013-09-07,43
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,32
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,34
2013-10-27 - 2013-11-02,35
2013-11-03 - 2013-11-09,40
2013-11-10 - 2013-11-16,40
2013-11-17 - 2013-11-23,35
2013-11-24 - 2013-11-30,61
2013-12-01 - 2013-12-07,40
2013-12-08 - 2013-12-14,39
2013-12-15 - 2013-12-21,35
2013-12-22 - 2013-12-28,49
2013-12-29 - 2014-01-04,56
2014-01-05 - 2014-01-11,41
2014-01-12 - 2014-01-18,32
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,38
2014-02-16 - 2014-02-22,36
2014-02-23 - 2014-03-01,29
2014-03-02 - 2014-03-08,35
2014-03-09 - 2014-03-15,50
2014-03-16 - 2014-03-22,37
2014-03-23 - 2014-03-29,38
2014-03-30 - 2014-04-05,36
2014-04-06 - 2014-04-12,32
2014-04-13 - 2014-04-19,32
2014-04-20 - 2014-04-26,32
2014-04-27 - 2014-05-03,34
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,31
2014-05-18 - 2014-05-24,46
2014-05-25 - 2014-05-31,34
2014-06-01 - 2014-06-07,29
2014-06-08 - 2014-06-14,31
2014-06-15 - 2014-06-21,35
2014-06-22 - 2014-06-28,35
2014-06-29 - 2014-07-05,32
2014-07-06 - 2014-07-12,55
2014-07-13 - 2014-07-19,48
2014-07-20 - 2014-07-26,47
2014-07-27 - 2014-08-02,45
2014-08-03 - 2014-08-09,48
2014-08-10 - 2014-08-16,38
2014-08-17 - 2014-08-23,32
2014-08-24 - 2014-08-30,29
2014-08-31 - 2014-09-06,50
2014-09-07 - 2014-09-13,25
2014-09-14 - 2014-09-20,26
2014-09-21 - 2014-09-27,25
2014-09-28 - 2014-10-04,26
2014-10-05 - 2014-10-11,24
2014-10-12 - 2014-10-18,25
2014-10-19 - 2014-10-25,24
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,29
2014-11-16 - 2014-11-22,28
2014-11-23 - 2014-11-29,67
2014-11-30 - 2014-12-06,31
2014-12-07 - 2014-12-13,29
2014-12-14 - 2014-12-20,27
2014-12-21 - 2014-12-27,31
2014-12-28 - 2015-01-03,37
2015-01-04 - 2015-01-10,28
2015-01-11 - 2015-01-17,32
2015-01-18 - 2015-01-24,32
2015-01-25 - 2015-01-31,31
2015-02-01 - 2015-02-07,30
2015-02-08 - 2015-02-14,26
2015-02-15 - 2015-02-21,42
2015-02-22 - 2015-02-28,30
2015-03-01 - 2015-03-07,25
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,27
2015-03-22 - 2015-03-28,26
2015-03-29 - 2015-04-04,34
2015-04-05 - 2015-04-11,28
2015-04-12 - 2015-04-18,36
2015-04-19 - 2015-04-25,36
2015-04-26 - 2015-05-02,31
2015-05-03 - 2015-05-09,30
2015-05-10 - 2015-05-16,25
2015-05-17 - 2015-05-23,27
2015-05-24 - 2015-05-30,24
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,44
2015-06-28 - 2015-07-04,36
2015-07-05 - 2015-07-11,31
2015-07-12 - 2015-07-18,32
2015-07-19 - 2015-07-25,35
2015-07-26 - 2015-08-01,29
2015-08-02 - 2015-08-08,29
2015-08-09 - 2015-08-15,29
2015-08-16 - 2015-08-22,30
2015-08-23 - 2015-08-29,32
2015-08-30 - 2015-09-05,41
2015-09-06 - 2015-09-12,40
2015-09-13 - 2015-09-19,34
2015-09-20 - 2015-09-26,35


Top subregions for selena gomez
Subregion,selena gomez
Texas,100
California,98
New Jersey,87
Nevada,86
New York,84
Florida,83
Arizona,79
Hawaii,75
Pennsylvania,75
Illinois,73
Michigan,72
New Mexico,72
Connecticut,71
Utah,70
Ohio,67
Virginia,67
Georgia,67
Indiana,67
Louisiana,65
Kansas,65
Oklahoma,65
Massachusetts,65
Rhode Island,65
West Virginia,64
Kentucky,63
North Carolina,63
Maryland,63
Tennessee,62
Colorado,62
Arkansas,62
Missouri,62
Alabama,62
Washington,61
Delaware,61
Nebraska,61
Mississippi,61
South Carolina,60
Minnesota,59
North Dakota,58
Idaho,58
Oregon,58
Iowa,57
Wisconsin,57
South Dakota,57
New Hampshire,54
Wyoming,51
Maine,50
Alaska,50
Montana,44
District of Columbia,44
Vermont,41


Top metros for selena gomez
Metro,selena gomez
Harlingen-Weslaco-Brownsville-McAllen TX,100
Laredo TX,90
Yuma AZ-El Centro CA,73
Los Angeles CA,69
Bakersfield CA,66
Fresno-Visalia CA,62
El Paso TX,62
Odessa-Midland TX,62
Corpus Christi TX,61
San Antonio TX,60
New York NY,59
Las Vegas NV,57
Abilene-Sweetwater TX,57
Miami-Ft. Lauderdale FL,55
Dallas-Ft. Worth TX,55
Palm Springs CA,54
Houston TX,54
Sacramento-Stockton-Modesto CA,51
Amarillo TX,51
Phoenix AZ,49
San Diego CA,49
Philadelphia PA,48
Honolulu HI,47
Chicago IL,46
West Palm Beach-Ft. Pierce FL,46
Detroit MI,46
Orlando-Daytona Beach-Melbourne FL,45
Joplin MO-Pittsburg KS,45
Monterey-Salinas CA,45
Sioux City IA,44
Wichita-Hutchinson KS,44
Wichita Falls TX & Lawton OK,44
Albuquerque-Santa Fe NM,44
Tucson (Sierra Vista) AZ,44
Providence RI-New Bedford MA,44
Salt Lake City UT,44
Tampa-St. Petersburg (Sarasota) FL,44
Yakima-Pasco-Richland-Kennewick WA,44
Rockford IL,44
Lubbock TX,43
Utica NY,43
San Francisco-Oakland-San Jose CA,43
Wilkes Barre-Scranton PA,42
Atlanta GA,42
Hartford & New Haven CT,42
Cleveland-Akron (Canton) OH,41
Austin TX,41
Buffalo NY,41
Waco-Temple-Bryan TX,41
Youngstown OH,41
Tyler-Longview(Lufkin & Nacogdoches) TX,41
Beaumont-Port Arthur TX,40
Tri-Cities TN-VA,40
Evansville IN,40
Biloxi-Gulfport MS,40
Tulsa OK,40
Boston MA-Manchester NH,40
Washington DC (Hagerstown MD),40
Denver CO,39
Ft. Smith-Fayetteville-Springdale-Rogers AR,39
Springfield-Holyoke MA,39
Oklahoma City OK,39
New Orleans LA,39
Ft. Myers-Naples FL,39
Erie PA,39
Chattanooga TN,39
Charleston-Huntington WV,39
Flint-Saginaw-Bay City MI,39
Harrisburg-Lancaster-Lebanon-York PA,39
Idaho Falls-Pocatello ID,39
Nashville TN,39
Columbus GA,39
Minneapolis-St. Paul MN,38
Charlotte NC,38
Florence-Myrtle Beach SC,38
Omaha NE,38
South Bend-Elkhart IN,38
Jacksonville FL,38
Ft. Wayne IN,38
Portland OR,38
Seattle-Tacoma WA,38
Shreveport LA,38
Lexington KY,37
Lafayette LA,37
Indianapolis IN,37
Columbus OH,37
St. Louis MO,37
Pittsburgh PA,37
Topeka KS,37
Milwaukee WI,37
Grand Rapids-Kalamazoo-Battle Creek MI,37
Louisville KY,37
Columbus-Tupelo-West Point MS,37
Terre Haute IN,37
Sioux Falls(Mitchell) SD,37
Greensboro-High Point-Winston Salem NC,37
Knoxville TN,37
Colorado Springs-Pueblo CO,36
Birmingham AL,36
Harrisonburg VA,36
Mobile AL-Pensacola (Ft. Walton Beach) FL,36
Santa Barbara-Santa Maria-San Luis Obispo CA,36
Johnstown-Altoona PA,36
Baltimore MD,36
Minot-Bismarck-Dickinson(Williston) ND,36
Reno NV,36
Lincoln & Hastings-Kearney NE,35
Savannah GA,35
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,35
Cincinnati OH,35
Panama City FL,35
Little Rock-Pine Bluff AR,35
Augusta GA,35
Springfield MO,35
Fargo-Valley City ND,35
Baton Rouge LA,34
Huntsville-Decatur (Florence) AL,34
Boise ID,34
Toledo OH,34
Kansas City MO,34
Macon GA,34
Richmond-Petersburg VA,34
Greenville-New Bern-Washington NC,34
Memphis TN,34
Salisbury MD,34
Greenville-Spartanburg SC-Asheville NC-Anderson SC,34
Davenport IA-Rock Island-Moline IL,34
Traverse City-Cadillac MI,34
Roanoke-Lynchburg VA,33
Hattiesburg-Laurel MS,33
Green Bay-Appleton WI,33
Binghamton NY,33
Eugene OR,33
Raleigh-Durham (Fayetteville) NC,33
Bowling Green KY,33
Des Moines-Ames IA,33
Peoria-Bloomington IL,33
Chico-Redding CA,33
Albany-Schenectady-Troy NY,33
Albany GA,32
Rochester NY,32
Spokane WA,32
Wilmington NC,32
Anchorage AK,32
Syracuse NY,32
Lansing MI,32
Charleston SC,32
Dayton OH,32
Champaign & Springfield-Decatur IL,32
Gainesville FL,31
Portland-Auburn ME,31
Norfolk-Portsmouth-Newport News VA,31
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,31
Rochester MN-Mason City IA-Austin MN,31
Columbia SC,30
La Crosse-Eau Claire WI,30
Montgomery (Selma) AL,30
Duluth MN-Superior WI,30
Jackson MS,29
Madison WI,29
Medford-Klamath Falls OR,29
Bangor ME,28
Columbia-Jefferson City MO,28
Wausau-Rhinelander WI,28
Burlington VT-Plattsburgh NY,28
Tallahassee FL-Thomasville GA,27
Charlottesville VA,26
Missoula MT,25
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Lafayette IN,0
Alpena MI,0
