Web Search interest: obama
United States; 2004 - present

Interest over time
Week,obama
2010-06-27 - 2010-07-03,4
2010-07-04 - 2010-07-10,4
2010-07-11 - 2010-07-17,4
2010-07-18 - 2010-07-24,4
2010-07-25 - 2010-07-31,4
2010-08-01 - 2010-08-07,4
2010-08-08 - 2010-08-14,4
2010-08-15 - 2010-08-21,5
2010-08-22 - 2010-08-28,3
2010-08-29 - 2010-09-04,4
2010-09-05 - 2010-09-11,4
2010-09-12 - 2010-09-18,4
2010-09-19 - 2010-09-25,4
2010-09-26 - 2010-10-02,4
2010-10-03 - 2010-10-09,3
2010-10-10 - 2010-10-16,4
2010-10-17 - 2010-10-23,4
2010-10-24 - 2010-10-30,5
2010-10-31 - 2010-11-06,6
2010-11-07 - 2010-11-13,5
2010-11-14 - 2010-11-20,3
2010-11-21 - 2010-11-27,3
2010-11-28 - 2010-12-04,3
2010-12-05 - 2010-12-11,4
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,3
2010-12-26 - 2011-01-01,3
2011-01-02 - 2011-01-08,3
2011-01-09 - 2011-01-15,5
2011-01-16 - 2011-01-22,4
2011-01-23 - 2011-01-29,6
2011-01-30 - 2011-02-05,4
2011-02-06 - 2011-02-12,4
2011-02-13 - 2011-02-19,4
2011-02-20 - 2011-02-26,4
2011-02-27 - 2011-03-05,3
2011-03-06 - 2011-03-12,3
2011-03-13 - 2011-03-19,4
2011-03-20 - 2011-03-26,4
2011-03-27 - 2011-04-02,4
2011-04-03 - 2011-04-09,5
2011-04-10 - 2011-04-16,5
2011-04-17 - 2011-04-23,5
2011-04-24 - 2011-04-30,8
2011-05-01 - 2011-05-07,16
2011-05-08 - 2011-05-14,5
2011-05-15 - 2011-05-21,5
2011-05-22 - 2011-05-28,5
2011-05-29 - 2011-06-04,3
2011-06-05 - 2011-06-11,3
2011-06-12 - 2011-06-18,3
2011-06-19 - 2011-06-25,4
2011-06-26 - 2011-07-02,3
2011-07-03 - 2011-07-09,3
2011-07-10 - 2011-07-16,4
2011-07-17 - 2011-07-23,3
2011-07-24 - 2011-07-30,4
2011-07-31 - 2011-08-06,5
2011-08-07 - 2011-08-13,4
2011-08-14 - 2011-08-20,4
2011-08-21 - 2011-08-27,3
2011-08-28 - 2011-09-03,3
2011-09-04 - 2011-09-10,6
2011-09-11 - 2011-09-17,5
2011-09-18 - 2011-09-24,4
2011-09-25 - 2011-10-01,5
2011-10-02 - 2011-10-08,4
2011-10-09 - 2011-10-15,3
2011-10-16 - 2011-10-22,4
2011-10-23 - 2011-10-29,5
2011-10-30 - 2011-11-05,3
2011-11-06 - 2011-11-12,4
2011-11-13 - 2011-11-19,4
2011-11-20 - 2011-11-26,4
2011-11-27 - 2011-12-03,4
2011-12-04 - 2011-12-10,4
2011-12-11 - 2011-12-17,4
2011-12-18 - 2011-12-24,4
2011-12-25 - 2011-12-31,3
2012-01-01 - 2012-01-07,4
2012-01-08 - 2012-01-14,4
2012-01-15 - 2012-01-21,5
2012-01-22 - 2012-01-28,9
2012-01-29 - 2012-02-04,6
2012-02-05 - 2012-02-11,5
2012-02-12 - 2012-02-18,5
2012-02-19 - 2012-02-25,5
2012-02-26 - 2012-03-03,5
2012-03-04 - 2012-03-10,5
2012-03-11 - 2012-03-17,6
2012-03-18 - 2012-03-24,5
2012-03-25 - 2012-03-31,5
2012-04-01 - 2012-04-07,5
2012-04-08 - 2012-04-14,4
2012-04-15 - 2012-04-21,5
2012-04-22 - 2012-04-28,6
2012-04-29 - 2012-05-05,5
2012-05-06 - 2012-05-12,7
2012-05-13 - 2012-05-19,6
2012-05-20 - 2012-05-26,4
2012-05-27 - 2012-06-02,4
2012-06-03 - 2012-06-09,4
2012-06-10 - 2012-06-16,5
2012-06-17 - 2012-06-23,5
2012-06-24 - 2012-06-30,7
2012-07-01 - 2012-07-07,5
2012-07-08 - 2012-07-14,5
2012-07-15 - 2012-07-21,7
2012-07-22 - 2012-07-28,5
2012-07-29 - 2012-08-04,6
2012-08-05 - 2012-08-11,6
2012-08-12 - 2012-08-18,7
2012-08-19 - 2012-08-25,7
2012-08-26 - 2012-09-01,10
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,11
2012-09-16 - 2012-09-22,11
2012-09-23 - 2012-09-29,11
2012-09-30 - 2012-10-06,17
2012-10-07 - 2012-10-13,12
2012-10-14 - 2012-10-20,18
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,17
2012-11-04 - 2012-11-10,51
2012-11-11 - 2012-11-17,11
2012-11-18 - 2012-11-24,6
2012-11-25 - 2012-12-01,5
2012-12-02 - 2012-12-08,4
2012-12-09 - 2012-12-15,6
2012-12-16 - 2012-12-22,6
2012-12-23 - 2012-12-29,4
2012-12-30 - 2013-01-05,4
2013-01-06 - 2013-01-12,4
2013-01-13 - 2013-01-19,8
2013-01-20 - 2013-01-26,14
2013-01-27 - 2013-02-02,6
2013-02-03 - 2013-02-09,5
2013-02-10 - 2013-02-16,6
2013-02-17 - 2013-02-23,5
2013-02-24 - 2013-03-02,5
2013-03-03 - 2013-03-09,4
2013-03-10 - 2013-03-16,4
2013-03-17 - 2013-03-23,6
2013-03-24 - 2013-03-30,4
2013-03-31 - 2013-04-06,4
2013-04-07 - 2013-04-13,4
2013-04-14 - 2013-04-20,5
2013-04-21 - 2013-04-27,4
2013-04-28 - 2013-05-04,4
2013-05-05 - 2013-05-11,3
2013-05-12 - 2013-05-18,4
2013-05-19 - 2013-05-25,4
2013-05-26 - 2013-06-01,3
2013-06-02 - 2013-06-08,4
2013-06-09 - 2013-06-15,3
2013-06-16 - 2013-06-22,3
2013-06-23 - 2013-06-29,3
2013-06-30 - 2013-07-06,3
2013-07-07 - 2013-07-13,2
2013-07-14 - 2013-07-20,5
2013-07-21 - 2013-07-27,3
2013-07-28 - 2013-08-03,3
2013-08-04 - 2013-08-10,4
2013-08-11 - 2013-08-17,3
2013-08-18 - 2013-08-24,4
2013-08-25 - 2013-08-31,4
2013-09-01 - 2013-09-07,4
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,3
2013-09-22 - 2013-09-28,4
2013-09-29 - 2013-10-05,8
2013-10-06 - 2013-10-12,6
2013-10-13 - 2013-10-19,6
2013-10-20 - 2013-10-26,4
2013-10-27 - 2013-11-02,4
2013-11-03 - 2013-11-09,4
2013-11-10 - 2013-11-16,4
2013-11-17 - 2013-11-23,4
2013-11-24 - 2013-11-30,4
2013-12-01 - 2013-12-07,4
2013-12-08 - 2013-12-14,6
2013-12-15 - 2013-12-21,4
2013-12-22 - 2013-12-28,4
2013-12-29 - 2014-01-04,3
2014-01-05 - 2014-01-11,3
2014-01-12 - 2014-01-18,4
2014-01-19 - 2014-01-25,4
2014-01-26 - 2014-02-01,5
2014-02-02 - 2014-02-08,4
2014-02-09 - 2014-02-15,4
2014-02-16 - 2014-02-22,4
2014-02-23 - 2014-03-01,4
2014-03-02 - 2014-03-08,4
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,5
2014-03-23 - 2014-03-29,4
2014-03-30 - 2014-04-05,4
2014-04-06 - 2014-04-12,3
2014-04-13 - 2014-04-19,3
2014-04-20 - 2014-04-26,3
2014-04-27 - 2014-05-03,3
2014-05-04 - 2014-05-10,3
2014-05-11 - 2014-05-17,3
2014-05-18 - 2014-05-24,3
2014-05-25 - 2014-05-31,3
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,3
2014-06-22 - 2014-06-28,3
2014-06-29 - 2014-07-05,3
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,3
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,3
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,3
2014-08-31 - 2014-09-06,3
2014-09-07 - 2014-09-13,5
2014-09-14 - 2014-09-20,3
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,3
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,4
2014-10-19 - 2014-10-25,4
2014-10-26 - 2014-11-01,3
2014-11-02 - 2014-11-08,5
2014-11-09 - 2014-11-15,4
2014-11-16 - 2014-11-22,8
2014-11-23 - 2014-11-29,5
2014-11-30 - 2014-12-06,5
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,4
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,3
2015-01-18 - 2015-01-24,6
2015-01-25 - 2015-01-31,4
2015-02-01 - 2015-02-07,4
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,4
2015-03-01 - 2015-03-07,4
2015-03-08 - 2015-03-14,5
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,4
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,3
2015-04-26 - 2015-05-02,4
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,3
2015-05-17 - 2015-05-23,3
2015-05-24 - 2015-05-30,3
2015-05-31 - 2015-06-06,2
2015-06-07 - 2015-06-13,2
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,3
2015-07-12 - 2015-07-18,4
2015-07-19 - 2015-07-25,4
2015-07-26 - 2015-08-01,3
2015-08-02 - 2015-08-08,3
2015-08-09 - 2015-08-15,2
2015-08-16 - 2015-08-22,2
2015-08-23 - 2015-08-29,3
2015-08-30 - 2015-09-05,3
2015-09-06 - 2015-09-12,3
2015-09-13 - 2015-09-19,3
2015-09-20 - 2015-09-26,4


Top subregions for obama
Subregion,obama
District of Columbia,100
Maryland,73
New York,67
Florida,66
Georgia,65
Illinois,65
North Carolina,65
Massachusetts,64
Pennsylvania,64
New Jersey,64
Ohio,63
Colorado,62
Missouri,62
Texas,62
Alabama,62
California,61
Louisiana,60
Michigan,60
Arizona,59
Indiana,59
Washington,58
Connecticut,58
Tennessee,58
Virginia,58
Mississippi,58
Wisconsin,57
South Carolina,57
Nevada,55
Arkansas,55
New Hampshire,54
Kentucky,54
Oklahoma,54
Minnesota,54
New Mexico,54
Iowa,53
Kansas,53
Delaware,53
West Virginia,51
Maine,51
Alaska,51
Rhode Island,51
Idaho,50
Utah,50
Montana,50
Wyoming,49
Vermont,49
Hawaii,48
Nebraska,48
South Dakota,45
North Dakota,43
Oregon,43


Top metros for obama
Metro,obama
Washington DC (Hagerstown MD),100
New York NY,96
Philadelphia PA,90
Raleigh-Durham (Fayetteville) NC,88
Atlanta GA,87
Orlando-Daytona Beach-Melbourne FL,84
Los Angeles CA,84
Richmond-Petersburg VA,83
Chicago IL,83
Boston MA-Manchester NH,83
Denver CO,82
Miami-Ft. Lauderdale FL,82
Norfolk-Portsmouth-Newport News VA,81
Dallas-Ft. Worth TX,80
St. Louis MO,80
Jackson MS,80
Baltimore MD,80
Kansas City MO,79
Greenwood-Greenville MS,78
Seattle-Tacoma WA,78
Victoria TX,78
Columbus OH,77
Phoenix AZ,77
Jacksonville FL,77
Greenville-Spartanburg SC-Asheville NC-Anderson SC,76
Nashville TN,76
Tallahassee FL-Thomasville GA,76
Tampa-St. Petersburg (Sarasota) FL,76
Indianapolis IN,76
Charlotte NC,76
Cleveland-Akron (Canton) OH,75
Birmingham AL,75
Huntsville-Decatur (Florence) AL,75
Austin TX,75
Hartford & New Haven CT,75
New Orleans LA,75
Detroit MI,75
Charlottesville VA,74
Tyler-Longview(Lufkin & Nacogdoches) TX,74
Baton Rouge LA,74
Montgomery (Selma) AL,74
Houston TX,74
Flint-Saginaw-Bay City MI,74
Lexington KY,73
Milwaukee WI,73
Shreveport LA,73
Tucson (Sierra Vista) AZ,73
Champaign & Springfield-Decatur IL,73
Grand Junction-Montrose CO,73
Columbia-Jefferson City MO,73
St. Joseph MO,73
Columbia SC,73
Cincinnati OH,72
Meridian MS,72
Minneapolis-St. Paul MN,72
Albuquerque-Santa Fe NM,72
Dayton OH,72
Harrisonburg VA,72
Pittsburgh PA,72
Lima OH,72
Wilmington NC,72
Gainesville FL,72
Colorado Springs-Pueblo CO,71
Greensboro-High Point-Winston Salem NC,71
Springfield-Holyoke MA,71
Macon GA,71
Lansing MI,71
Albany GA,71
Las Vegas NV,70
Madison WI,70
Mobile AL-Pensacola (Ft. Walton Beach) FL,70
San Francisco-Oakland-San Jose CA,70
Memphis TN,70
Sacramento-Stockton-Modesto CA,70
Syracuse NY,70
Helena MT,70
San Diego CA,70
Wheeling WV-Steubenville OH,70
Harrisburg-Lancaster-Lebanon-York PA,70
South Bend-Elkhart IN,69
Charleston SC,69
Savannah GA,69
Charleston-Huntington WV,68
Columbus GA,68
Little Rock-Pine Bluff AR,68
Louisville KY,68
Ft. Smith-Fayetteville-Springdale-Rogers AR,68
West Palm Beach-Ft. Pierce FL,68
Santa Barbara-Santa Maria-San Luis Obispo CA,68
Chattanooga TN,68
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,68
Springfield MO,68
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,68
Oklahoma City OK,68
Youngstown OH,67
Zanesville OH,67
Monterey-Salinas CA,67
Monroe LA-El Dorado AR,67
Ft. Myers-Naples FL,67
Grand Rapids-Kalamazoo-Battle Creek MI,67
Salt Lake City UT,67
Beaumont-Port Arthur TX,66
Ft. Wayne IN,66
Salisbury MD,66
Albany-Schenectady-Troy NY,66
Knoxville TN,66
Eugene OR,66
Burlington VT-Plattsburgh NY,66
Quincy IL-Hannibal MO-Keokuk IA,66
Providence RI-New Bedford MA,66
Jackson TN,66
Anchorage AK,66
Missoula MT,66
Wilkes Barre-Scranton PA,65
Reno NV,65
Portland-Auburn ME,65
Twin Falls ID,65
Binghamton NY,65
Greenville-New Bern-Washington NC,65
Johnstown-Altoona PA,65
Des Moines-Ames IA,65
Idaho Falls-Pocatello ID,65
Palm Springs CA,64
Toledo OH,64
Spokane WA,64
Tulsa OK,64
Juneau AK,64
Omaha NE,64
Bangor ME,64
Dothan AL,64
Chico-Redding CA,64
Waco-Temple-Bryan TX,64
San Antonio TX,64
Lafayette LA,63
Biloxi-Gulfport MS,63
Tri-Cities TN-VA,63
Boise ID,63
Parkersburg WV,63
Casper-Riverton WY,63
Peoria-Bloomington IL,63
Rochester NY,62
San Angelo TX,62
Medford-Klamath Falls OR,62
Cheyenne WY-Scottsbluff NE,62
Jonesboro AR,62
Davenport IA-Rock Island-Moline IL,62
Rapid City SD,62
Sherman TX-Ada OK,62
Evansville IN,62
Honolulu HI,62
Panama City FL,62
Fairbanks AK,61
Terre Haute IN,61
Marquette MI,61
Topeka KS,61
Wichita Falls TX & Lawton OK,61
Ottumwa IA-Kirksville MO,61
Lafayette IN,61
Rockford IL,60
La Crosse-Eau Claire WI,60
Clarksburg-Weston WV,60
Billings MT,60
Butte-Bozeman MT,60
Lincoln & Hastings-Kearney NE,60
Alexandria LA,60
Lubbock TX,59
Joplin MO-Pittsburg KS,59
Rochester MN-Mason City IA-Austin MN,59
Green Bay-Appleton WI,59
Sioux City IA,59
Bluefield-Beckley-Oak Hill WV,59
Wichita-Hutchinson KS,59
Lake Charles LA,59
Fresno-Visalia CA,59
Amarillo TX,58
Duluth MN-Superior WI,58
Buffalo NY,58
El Paso TX,58
Erie PA,58
Utica NY,58
Hattiesburg-Laurel MS,58
Corpus Christi TX,57
Mankato MN,57
