Web Search interest: pope francis
United States; 2004 - present

Interest over time
Week,pope francis
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for pope francis
City,pope francis
Washington,100
New York,84
Philadelphia,82
Omaha,78
Alexandria,76
San Jose,57
Chicago,57
Houston,56
Austin,55
San Antonio,55
Los Angeles,55
Boston,52
San Francisco,50
Portland,49
San Diego,49



Top searches for pope francis
the pope,100
the pope francis,100
pope francis news,40
new pope,30
new pope francis,30
pope francis visit,25
pope francis quotes,20
vatican,15
francis i pope,15
pope benedict,15
pope st francis,10
pope francis 2013,10
pope francis name,10
pope francis mass,10
the new pope,10
pope francis facebook,10
pope francis schedule,10
pope francis speech,5
pope francis twitter,5
pope francis philadelphia,5
pope francis obama,5
pope francis live,5
pope francis jesuit,5
pope francis dc,5
pope francis encyclical,5
pope francis homily,5
cnn pope francis,5
pope francis 1,5
pope francis hell,5
pope francis interview,5
pope francis wiki,5
pope francis today,5
pope francis argentina,5
pope francis congress,5
jorge bergoglio,5
pope francis address,5
pope francis biography,5
pope francis nyc,5
pope francis facts,5
pope francis book,5
pope francis age,5
pope francis homosexuality,5
pope francis bacon,5
francis bacon,5
current pope,5
pope francis abortion,5
pope francis antichrist,5
pope francis easter,5



Rising searches for pope francis
francis i pope,Breakout
new pope,Breakout
new pope francis,Breakout
pope benedict,Breakout
pope francis 2013,Breakout
pope francis news,Breakout
pope francis quotes,Breakout
pope francis visit,Breakout
pope st francis,Breakout
the pope,Breakout



